ID	GachaID	PossessionCategory	PossessionID	PossessionNum	Weight
1	101010101	1	10101001	1	5630
2	101010101	3	30101003	1	5630
3	101010101	5	50101005	1	1407
4	101010101	6	60101006	1	5630
5	101010101	7	70411007	1	2815
6	101010102	1	10101002	1	5630
7	101010102	3	30101003	1	5630
8	101010102	5	50101005	1	1407
9	101010102	6	60101006	1	5630
10	101010102	7	70411007	1	2815
11	101010103	1	10101003	1	5630
12	101010103	3	30101003	1	5630
13	101010103	5	50101005	1	1407
14	101010103	6	60101006	1	5630
15	101010103	7	70411007	1	2815
16	101010201	1	10101004	1	5630
17	101010201	3	30101003	1	5630
18	101010201	5	50101005	1	1407
19	101010201	6	60101006	1	5630
20	101010201	7	70411007	1	2815
21	101010202	1	10101005	1	5630
22	101010202	3	30101003	1	5630
23	101010202	5	50101005	1	1407
24	101010202	6	60101006	1	5630
25	101010202	7	70411007	1	2815
26	101010203	1	10101006	1	5630
27	101010203	3	30101003	1	5630
28	101010203	5	50101005	1	1407
29	101010203	6	60101006	1	5630
30	101010203	7	70411007	1	2815
31	101010204	1	10101007	1	5630
32	101010204	3	30101003	1	5630
33	101010204	5	50101005	1	1407
34	101010204	6	60101006	1	5630
35	101010204	7	70411007	1	2815
36	101010205	1	10101008	1	5630
37	101010205	3	30101003	1	5630
38	101010205	5	50101005	1	1407
39	101010205	6	60101006	1	5630
40	101010205	7	70411007	1	2815
41	101010301	1	10101009	1	5630
42	101010301	3	30101003	1	5630
43	101010301	5	50101005	1	1407
44	101010301	6	60101006	1	5630
45	101010301	7	70411007	1	2815
46	101010302	1	10101010	1	5630
47	101010302	3	30101003	1	5630
48	101010302	5	50101005	1	1407
49	101010302	6	60101006	1	5630
50	101010302	7	70411007	1	2815
51	101010303	1	10101011	1	5630
52	101010303	3	30101003	1	5630
53	101010303	5	50101005	1	1407
54	101010303	6	60101006	1	5630
55	101010303	7	70411007	1	2815
56	101010304	2	20202001	1	2815
57	101010304	3	30101003	1	5630
58	101010304	5	50101005	1	1407
59	101010304	6	60101006	1	5630
60	101010304	7	70411007	1	2815
61	101010305	2	20202002	1	2815
62	101010305	3	30101003	1	5630
63	101010305	5	50101005	1	1407
64	101010305	6	60101006	1	5630
65	101010305	7	70411007	1	2815
66	101010401	2	20202003	1	2815
67	101010401	3	30101003	1	5630
68	101010401	5	50101005	1	1407
69	101010401	6	60101006	1	5630
70	101010401	7	70411007	1	2815
71	101010402	2	20202004	1	2815
72	101010402	3	30101003	1	5630
73	101010402	5	50101005	1	1407
74	101010402	6	60101006	1	5630
75	101010402	7	70411007	1	2815
76	101010403	2	20202005	1	2815
77	101010403	3	30101003	1	5630
78	101010403	5	50101005	1	1407
79	101010403	6	60101006	1	5630
80	101010403	7	70411007	1	2815
