ID	MerchandizeGroupID	MinPlayerLevel	MaxPlayerLevel	MerchandisePossessionCategory	MerchandisePossessionID	MerchandisePossessionNum	PaymentPossessionCategory	PaymentPossessionID	PaymentPossessionNum	Weight
101000001	101	1	20	2	20202001	1	11	2	200	349
101000002	101	1	20	2	20202001	2	11	2	400	174
101000003	101	1	20	2	20202001	3	11	2	600	116
101000004	101	1	20	2	20202001	1	11	3	10	97
101000005	101	1	20	2	20202001	3	11	3	30	32
101000006	101	1	20	2	20202001	5	11	3	50	19
101000007	101	1	20	2	20202001	10	11	3	100	9
101000008	101	1	20	2	20202002	1	11	2	200	349
101000009	101	1	20	2	20202002	2	11	2	400	174
101000010	101	1	20	2	20202002	3	11	2	600	116
101000011	101	1	20	2	20202002	1	11	3	10	97
101000012	101	1	20	2	20202002	3	11	3	30	32
101000013	101	1	20	2	20202002	5	11	3	50	19
101000014	101	1	20	2	20202002	10	11	3	100	9
101000015	101	1	20	2	20202003	1	11	2	200	349
101000016	101	1	20	2	20202003	2	11	2	400	174
101000017	101	1	20	2	20202003	3	11	2	600	116
101000018	101	1	20	2	20202003	1	11	3	10	97
101000019	101	1	20	2	20202003	3	11	3	30	32
101000020	101	1	20	2	20202003	5	11	3	50	19
101000021	101	1	20	2	20202003	10	11	3	100	9
101000022	101	1	20	2	20202004	1	11	2	200	349
101000023	101	1	20	2	20202004	2	11	2	400	174
101000024	101	1	20	2	20202004	3	11	2	600	116
101000025	101	1	20	2	20202004	1	11	3	10	97
101000026	101	1	20	2	20202004	3	11	3	30	32
101000027	101	1	20	2	20202004	5	11	3	50	19
101000028	101	1	20	2	20202004	10	11	3	100	9
101000029	101	1	20	2	20202005	1	11	2	200	349
101000030	101	1	20	2	20202005	2	11	2	400	174
101000031	101	1	20	2	20202005	3	11	2	600	116
101000032	101	1	20	2	20202005	1	11	3	10	97
101000033	101	1	20	2	20202005	3	11	3	30	32
101000034	101	1	20	2	20202005	5	11	3	50	19
101000035	101	1	20	2	20202005	10	11	3	100	9
101000036	101	1	20	2	20202006	1	11	2	200	349
101000037	101	1	20	2	20202006	2	11	2	400	174
101000038	101	1	20	2	20202006	3	11	2	600	116
101000039	101	1	20	2	20202006	1	11	3	10	97
101000040	101	1	20	2	20202006	3	11	3	30	32
101000041	101	1	20	2	20202006	5	11	3	50	19
101000042	101	1	20	2	20202006	10	11	3	100	9
101000043	101	1	20	2	20202007	1	11	2	200	349
101000044	101	1	20	2	20202007	2	11	2	400	174
101000045	101	1	20	2	20202007	3	11	2	600	116
101000046	101	1	20	2	20202007	1	11	3	10	97
101000047	101	1	20	2	20202007	3	11	3	30	32
101000048	101	1	20	2	20202007	5	11	3	50	19
101000049	101	1	20	2	20202007	10	11	3	100	9
101000050	101	1	20	2	20202008	1	11	2	200	349
101000051	101	1	20	2	20202008	2	11	2	400	174
101000052	101	1	20	2	20202008	3	11	2	600	116
101000053	101	1	20	2	20202008	1	11	3	10	97
101000054	101	1	20	2	20202008	3	11	3	30	32
101000055	101	1	20	2	20202008	5	11	3	50	19
101000056	101	1	20	2	20202008	10	11	3	100	9
101000057	101	1	20	2	20202009	1	11	2	200	349
101000058	101	1	20	2	20202009	2	11	2	400	174
101000059	101	1	20	2	20202009	3	11	2	600	116
101000060	101	1	20	2	20202009	1	11	3	10	97
101000061	101	1	20	2	20202009	3	11	3	30	32
101000062	101	1	20	2	20202009	5	11	3	50	19
101000063	101	1	20	2	20202009	10	11	3	100	9
101000064	101	1	20	2	20202010	1	11	2	200	349
101000065	101	1	20	2	20202010	2	11	2	400	174
101000066	101	1	20	2	20202010	3	11	2	600	116
101000067	101	1	20	2	20202010	1	11	3	10	97
101000068	101	1	20	2	20202010	3	11	3	30	32
101000069	101	1	20	2	20202010	5	11	3	50	19
101000070	101	1	20	2	20202010	10	11	3	100	9
101000071	101	1	20	2	20202011	1	11	2	200	349
101000072	101	1	20	2	20202011	2	11	2	400	174
101000073	101	1	20	2	20202011	3	11	2	600	116
101000074	101	1	20	2	20202011	1	11	3	10	97
101000075	101	1	20	2	20202011	3	11	3	30	32
101000076	101	1	20	2	20202011	5	11	3	50	19
101000077	101	1	20	2	20202011	10	11	3	100	9
101000078	101	1	20	2	20304001	1	11	2	400	349
101000079	101	1	20	2	20304001	2	11	2	800	174
101000080	101	1	20	2	20304001	3	11	2	1200	116
101000081	101	1	20	2	20304001	1	11	3	20	97
101000082	101	1	20	2	20304001	3	11	3	60	32
101000083	101	1	20	2	20304001	5	11	3	100	19
101000084	101	1	20	2	20304001	10	11	3	200	9
101000085	101	1	20	2	20304002	1	11	2	400	349
101000086	101	1	20	2	20304002	2	11	2	800	174
101000087	101	1	20	2	20304002	3	11	2	1200	116
101000088	101	1	20	2	20304002	1	11	3	20	97
101000089	101	1	20	2	20304002	3	11	3	60	32
101000090	101	1	20	2	20304002	5	11	3	100	19
101000091	101	1	20	2	20304002	10	11	3	200	9
101000092	101	1	20	2	20304003	1	11	2	400	349
101000093	101	1	20	2	20304003	2	11	2	800	174
101000094	101	1	20	2	20304003	3	11	2	1200	116
101000095	101	1	20	2	20304003	1	11	3	20	97
101000096	101	1	20	2	20304003	3	11	3	60	32
101000097	101	1	20	2	20304003	5	11	3	100	19
101000098	101	1	20	2	20304003	10	11	3	200	9
101000099	101	1	20	2	20304004	1	11	2	400	349
101000100	101	1	20	2	20304004	2	11	2	800	174
101000101	101	1	20	2	20304004	3	11	2	1200	116
101000102	101	1	20	2	20304004	1	11	3	20	97
101000103	101	1	20	2	20304004	3	11	3	60	32
101000104	101	1	20	2	20304004	5	11	3	100	19
101000105	101	1	20	2	20304004	10	11	3	200	9
101000106	101	1	20	2	20304005	1	11	2	400	349
101000107	101	1	20	2	20304005	2	11	2	800	174
101000108	101	1	20	2	20304005	3	11	2	1200	116
101000109	101	1	20	2	20304005	1	11	3	20	97
101000110	101	1	20	2	20304005	3	11	3	60	32
101000111	101	1	20	2	20304005	5	11	3	100	19
101000112	101	1	20	2	20304005	10	11	3	200	9
101000113	101	1	20	2	20304006	1	11	2	400	349
101000114	101	1	20	2	20304006	2	11	2	800	174
101000115	101	1	20	2	20304006	3	11	2	1200	116
101000116	101	1	20	2	20304006	1	11	3	20	97
101000117	101	1	20	2	20304006	3	11	3	60	32
101000118	101	1	20	2	20304006	5	11	3	100	19
101000119	101	1	20	2	20304006	10	11	3	200	9
101000120	101	1	20	2	20304007	1	11	2	400	349
101000121	101	1	20	2	20304007	2	11	2	800	174
101000122	101	1	20	2	20304007	3	11	2	1200	116
101000123	101	1	20	2	20304007	1	11	3	20	97
101000124	101	1	20	2	20304007	3	11	3	60	32
101000125	101	1	20	2	20304007	5	11	3	100	19
101000126	101	1	20	2	20304007	10	11	3	200	9
101000127	101	1	20	2	20304008	1	11	2	400	349
101000128	101	1	20	2	20304008	2	11	2	800	174
101000129	101	1	20	2	20304008	3	11	2	1200	116
101000130	101	1	20	2	20304008	1	11	3	20	97
101000131	101	1	20	2	20304008	3	11	3	60	32
101000132	101	1	20	2	20304008	5	11	3	100	19
101000133	101	1	20	2	20304008	10	11	3	200	9
101000134	101	1	20	2	20304009	1	11	2	400	349
101000135	101	1	20	2	20304009	2	11	2	800	174
101000136	101	1	20	2	20304009	3	11	2	1200	116
101000137	101	1	20	2	20304009	1	11	3	20	97
101000138	101	1	20	2	20304009	3	11	3	60	32
101000139	101	1	20	2	20304009	5	11	3	100	19
101000140	101	1	20	2	20304009	10	11	3	200	9
101000141	101	1	20	2	20304010	1	11	2	400	349
101000142	101	1	20	2	20304010	2	11	2	800	174
101000143	101	1	20	2	20304010	3	11	2	1200	116
101000144	101	1	20	2	20304010	1	11	3	20	97
101000145	101	1	20	2	20304010	3	11	3	60	32
101000146	101	1	20	2	20304010	5	11	3	100	19
101000147	101	1	20	2	20304010	10	11	3	200	9
101000148	101	1	20	2	20304011	1	11	2	400	349
101000149	101	1	20	2	20304011	2	11	2	800	174
101000150	101	1	20	2	20304011	3	11	2	1200	116
101000151	101	1	20	2	20304011	1	11	3	20	97
101000152	101	1	20	2	20304011	3	11	3	60	32
101000153	101	1	20	2	20304011	5	11	3	100	19
101000154	101	1	20	2	20304011	10	11	3	200	9
101000155	101	1	20	2	20305001	1	11	2	500	279
101000156	101	1	20	2	20305001	2	11	2	1000	139
101000157	101	1	20	2	20305001	3	11	2	1500	93
101000158	101	1	20	2	20305001	1	11	3	25	78
101000159	101	1	20	2	20305001	3	11	3	75	26
101000160	101	1	20	2	20305001	5	11	3	125	15
101000161	101	1	20	2	20305001	10	11	3	250	7
101000162	101	1	20	2	20305002	1	11	2	500	279
101000163	101	1	20	2	20305002	2	11	2	1000	139
101000164	101	1	20	2	20305002	3	11	2	1500	93
101000165	101	1	20	2	20305002	1	11	3	25	78
101000166	101	1	20	2	20305002	3	11	3	75	26
101000167	101	1	20	2	20305002	5	11	3	125	15
101000168	101	1	20	2	20305002	10	11	3	250	7
101000169	101	1	20	2	20305003	1	11	2	500	279
101000170	101	1	20	2	20305003	2	11	2	1000	139
101000171	101	1	20	2	20305003	3	11	2	1500	93
101000172	101	1	20	2	20305003	1	11	3	25	78
101000173	101	1	20	2	20305003	3	11	3	75	26
101000174	101	1	20	2	20305003	5	11	3	125	15
101000175	101	1	20	2	20305003	10	11	3	250	7
101000176	101	1	20	2	20305004	1	11	2	500	279
101000177	101	1	20	2	20305004	2	11	2	1000	139
101000178	101	1	20	2	20305004	3	11	2	1500	93
101000179	101	1	20	2	20305004	1	11	3	25	78
101000180	101	1	20	2	20305004	3	11	3	75	26
101000181	101	1	20	2	20305004	5	11	3	125	15
101000182	101	1	20	2	20305004	10	11	3	250	7
101000183	101	1	20	2	20305005	1	11	2	500	279
101000184	101	1	20	2	20305005	2	11	2	1000	139
101000185	101	1	20	2	20305005	3	11	2	1500	93
101000186	101	1	20	2	20305005	1	11	3	25	78
101000187	101	1	20	2	20305005	3	11	3	75	26
101000188	101	1	20	2	20305005	5	11	3	125	15
101000189	101	1	20	2	20305005	10	11	3	250	7
101000190	101	1	20	2	20305006	1	11	2	500	279
101000191	101	1	20	2	20305006	2	11	2	1000	139
101000192	101	1	20	2	20305006	3	11	2	1500	93
101000193	101	1	20	2	20305006	1	11	3	25	78
101000194	101	1	20	2	20305006	3	11	3	75	26
101000195	101	1	20	2	20305006	5	11	3	125	15
101000196	101	1	20	2	20305006	10	11	3	250	7
101000197	101	1	20	2	20305007	1	11	2	500	279
101000198	101	1	20	2	20305007	2	11	2	1000	139
101000199	101	1	20	2	20305007	3	11	2	1500	93
101000200	101	1	20	2	20305007	1	11	3	25	78
101000201	101	1	20	2	20305007	3	11	3	75	26
101000202	101	1	20	2	20305007	5	11	3	125	15
101000203	101	1	20	2	20305007	10	11	3	250	7
101000204	101	1	20	2	20305008	1	11	2	500	279
101000205	101	1	20	2	20305008	2	11	2	1000	139
101000206	101	1	20	2	20305008	3	11	2	1500	93
101000207	101	1	20	2	20305008	1	11	3	25	78
101000208	101	1	20	2	20305008	3	11	3	75	26
101000209	101	1	20	2	20305008	5	11	3	125	15
101000210	101	1	20	2	20305008	10	11	3	250	7
101000211	101	1	20	2	20305009	1	11	2	500	279
101000212	101	1	20	2	20305009	2	11	2	1000	139
101000213	101	1	20	2	20305009	3	11	2	1500	93
101000214	101	1	20	2	20305009	1	11	3	25	78
101000215	101	1	20	2	20305009	3	11	3	75	26
101000216	101	1	20	2	20305009	5	11	3	125	15
101000217	101	1	20	2	20305009	10	11	3	250	7
101000218	101	1	20	2	20305010	1	11	2	500	279
101000219	101	1	20	2	20305010	2	11	2	1000	139
101000220	101	1	20	2	20305010	3	11	2	1500	93
101000221	101	1	20	2	20305010	1	11	3	25	78
101000222	101	1	20	2	20305010	3	11	3	75	26
101000223	101	1	20	2	20305010	5	11	3	125	15
101000224	101	1	20	2	20305010	10	11	3	250	7
101000225	101	1	20	2	20305011	1	11	2	500	279
101000226	101	1	20	2	20305011	2	11	2	1000	139
101000227	101	1	20	2	20305011	3	11	2	1500	93
101000228	101	1	20	2	20305011	1	11	3	25	78
101000229	101	1	20	2	20305011	3	11	3	75	26
101000230	101	1	20	2	20305011	5	11	3	125	15
101000231	101	1	20	2	20305011	10	11	3	250	7
101000232	101	1	20	2	20306001	1	11	2	600	223
101000233	101	1	20	2	20306001	2	11	2	1200	111
101000234	101	1	20	2	20306001	3	11	2	1800	74
101000235	101	1	20	2	20306001	1	11	3	30	62
101000236	101	1	20	2	20306001	3	11	3	90	20
101000237	101	1	20	2	20306001	5	11	3	150	12
101000238	101	1	20	2	20306001	10	11	3	300	6
101000239	101	1	20	2	20306002	1	11	2	600	223
101000240	101	1	20	2	20306002	2	11	2	1200	111
101000241	101	1	20	2	20306002	3	11	2	1800	74
101000242	101	1	20	2	20306002	1	11	3	30	62
101000243	101	1	20	2	20306002	3	11	3	90	20
101000244	101	1	20	2	20306002	5	11	3	150	12
101000245	101	1	20	2	20306002	10	11	3	300	6
101000246	101	1	20	2	20306003	1	11	2	600	223
101000247	101	1	20	2	20306003	2	11	2	1200	111
101000248	101	1	20	2	20306003	3	11	2	1800	74
101000249	101	1	20	2	20306003	1	11	3	30	62
101000250	101	1	20	2	20306003	3	11	3	90	20
101000251	101	1	20	2	20306003	5	11	3	150	12
101000252	101	1	20	2	20306003	10	11	3	300	6
101000253	101	1	20	2	20306004	1	11	2	600	223
101000254	101	1	20	2	20306004	2	11	2	1200	111
101000255	101	1	20	2	20306004	3	11	2	1800	74
101000256	101	1	20	2	20306004	1	11	3	30	62
101000257	101	1	20	2	20306004	3	11	3	90	20
101000258	101	1	20	2	20306004	5	11	3	150	12
101000259	101	1	20	2	20306004	10	11	3	300	6
101000260	101	1	20	2	20306005	1	11	2	600	223
101000261	101	1	20	2	20306005	2	11	2	1200	111
101000262	101	1	20	2	20306005	3	11	2	1800	74
101000263	101	1	20	2	20306005	1	11	3	30	62
101000264	101	1	20	2	20306005	3	11	3	90	20
101000265	101	1	20	2	20306005	5	11	3	150	12
101000266	101	1	20	2	20306005	10	11	3	300	6
101000267	101	1	20	2	20306006	1	11	2	600	223
101000268	101	1	20	2	20306006	2	11	2	1200	111
101000269	101	1	20	2	20306006	3	11	2	1800	74
101000270	101	1	20	2	20306006	1	11	3	30	62
101000271	101	1	20	2	20306006	3	11	3	90	20
101000272	101	1	20	2	20306006	5	11	3	150	12
101000273	101	1	20	2	20306006	10	11	3	300	6
101000274	101	1	20	2	20306007	1	11	2	600	223
101000275	101	1	20	2	20306007	2	11	2	1200	111
101000276	101	1	20	2	20306007	3	11	2	1800	74
101000277	101	1	20	2	20306007	1	11	3	30	62
101000278	101	1	20	2	20306007	3	11	3	90	20
101000279	101	1	20	2	20306007	5	11	3	150	12
101000280	101	1	20	2	20306007	10	11	3	300	6
101000281	101	1	20	2	20306008	1	11	2	600	223
101000282	101	1	20	2	20306008	2	11	2	1200	111
101000283	101	1	20	2	20306008	3	11	2	1800	74
101000284	101	1	20	2	20306008	1	11	3	30	62
101000285	101	1	20	2	20306008	3	11	3	90	20
101000286	101	1	20	2	20306008	5	11	3	150	12
101000287	101	1	20	2	20306008	10	11	3	300	6
101000288	101	1	20	2	20306009	1	11	2	600	223
101000289	101	1	20	2	20306009	2	11	2	1200	111
